t_real	tv	d_tv	e_p_x	e_p_y	e_p_z	e_o_x	e_o_y	e_o_z	e_v_lin_x	e_v_lin_y	e_v_lin_z	e_v_ang_x	e_v_ang_y	e_v_ang_z
0.226	0.225909	0.995947	0.021091	-0.0025601	0.0194642	-0.0970056	-0.010847	8.17899e-05	-0.22798	-0.0397595	0.104756	-0.175946	-0.135103	-0.0180068
0.228	0.227901	0.99569	0.0213284	-0.0025601	0.0198322	-0.0979631	-0.0108413	7.67466e-05	0.118678	0	0.184012	-0.335112	0.00183299	-0.00367468
0.23	0.229892	0.995432	0.0208534	-0.00264092	0.020041	-0.0984604	-0.0112318	5.29613e-06	-0.237459	-0.0404097	0.104421	-0.173918	-0.13771	-0.0192866
0.232	0.231882	0.995175	0.0203632	-0.00272295	0.0202469	-0.0989461	-0.0116303	-7.00906e-05	-0.245133	-0.0410147	0.102943	-0.169884	-0.140536	-0.0205046
0.234	0.233872	0.994918	0.0205906	-0.00272295	0.0206208	-0.0999006	-0.0116245	-7.54985e-05	0.113716	0	0.18692	-0.334048	0.00186131	-0.00393044
0.236	0.235861	0.994661	0.0200842	-0.00280565	0.0208244	-0.100347	-0.012033	-0.000154824	-0.253205	-0.0413502	0.101831	-0.156207	-0.144136	-0.0215589
0.238	0.23785	0.994404	0.0195654	-0.00288901	0.0210239	-0.100771	-0.0124476	-0.000238013	-0.259413	-0.0416797	0.0997353	-0.148186	-0.146348	-0.0227533
0.24	0.239838	0.993976	0.0190735	-0.00296867	0.0212291	-0.101212	-0.0128436	-0.000320782	-0.245929	-0.0398284	0.102608	-0.154193	-0.139826	-0.0229692
0.242	0.241825	0.993548	0.0192478	-0.00297311	0.0216003	-0.102134	-0.0128602	-0.000331131	0.0871371	-0.00222298	0.185609	-0.322498	-0.0059967	-0.00539741
0.244	0.243811	0.993121	0.0187401	-0.00305352	0.0218036	-0.102567	-0.0132596	-0.000417872	-0.253852	-0.040206	0.101644	-0.151424	-0.141083	-0.0242159
0.246	0.245796	0.992524	0.0181795	-0.00313922	0.0219932	-0.102966	-0.0136855	-0.000512989	-0.280277	-0.0428483	0.094792	-0.139472	-0.150494	-0.0265917
0.248	0.24778	0.991927	0.0183831	-0.00313922	0.0223791	-0.103912	-0.0136796	-0.000519337	0.101767	0	0.192942	-0.331099	0.00194838	-0.0045903
0.25	0.249763	0.991331	0.0178056	-0.00322579	0.0225664	-0.104304	-0.0141102	-0.000618632	-0.288745	-0.0432867	0.0936657	-0.137206	-0.152228	-0.0278788
